year,country_code,country,gdp,labor,human_capital,physical_capital
2017,AGO,Angola,156198.375,15.389315605163574,1.4673211574554443,1080251.625
2017,ALB,Albania,35175.6015625,1.0469835996627808,2.9511842727661133,194144.8125
2017,ARE,United Arab Emirates,639613.9375,3.8918497562408447,2.7401201725006104,2953500.75
2017,ARG,Argentina,732951.0,19.814985275268555,3.0354387760162354,2364575.0
2017,ARM,Armenia,30128.2578125,1.0144777297973633,3.130450963973999,89271.4921875
2017,AUS,Australia,1177003.375,12.25908088684082,3.5224807262420654,5421295.5
2017,AUT,Austria,414481.90625,4.34689998626709,3.358983039855957,2518291.5
2017,BDI,Burundi,8911.4375,4.639999866485596,1.3892734050750732,15963.5048828125
2017,BEL,Belgium,476003.90625,4.7572174072265625,3.136449098587036,3032260.75
2017,BEN,Benin,23696.30859375,4.429999828338623,1.8408331871032715,81619.90625
2017,BFA,Burkina Faso,31610.482421875,6.256042003631592,1.2585225105285645,90906.671875
2017,BGD,Bangladesh,554078.625,63.7799186706543,2.0487515926361084,2195226.75
2017,BGR,Bulgaria,136247.875,3.454327344894409,3.162797451019287,420190.03125
2017,BHR,Bahrain,56836.9609375,0.8286433219909668,2.2372100353240967,320046.4375
2017,BLZ,Belize,2705.909423828125,0.15600000321865082,3.5291357040405273,6526.40478515625
2017,BOL,Bolivia (Plurinational State of),66389.03125,4.857428073883057,2.909207582473755,164294.03125
2017,BRA,Brazil,2905474.5,103.491943359375,2.9492499828338623,15796820.0
2017,BRB,Barbados,2770.812744140625,0.12980584800243378,2.8356900215148926,21503.23828125
2017,BRN,Brunei Darussalam,24032.822265625,0.20600000023841858,2.774854898452759,148226.375
2017,BWA,Botswana,34727.24609375,0.9340000152587891,2.8852996826171875,212073.71875
2017,CAF,Central African Republic,3401.711669921875,1.7790000438690186,1.5403989553451538,19002.357421875
2017,CAN,Canada,1620789.375,18.700302124023438,3.7062931060791016,8071759.0
2017,CHE,Switzerland,558580.1875,4.944097995758057,3.687501907348633,2498143.0
2017,CHL,Chile,413501.40625,8.121524810791016,3.1078670024871826,1534204.625
2017,CHN,China,17797724.0,791.6920166015625,2.56642746925354,105849328.0
2017,CIV,Côte d'Ivoire,86678.2265625,7.890469074249268,1.6573388576507568,222651.609375
2017,CMR,Cameroon,75844.4296875,9.754751205444336,1.8900192975997925,227089.578125
2017,COD,D.R. of the Congo,62224.9609375,29.83648109436035,1.6660287380218506,175908.578125
2017,COG,Congo,21035.376953125,1.8839999437332153,2.040198564529419,185260.796875
2017,COL,Colombia,634618.375,23.06844711303711,2.5629780292510986,2444396.25
2017,CRI,Costa Rica,75703.3125,2.012725830078125,2.6579580307006836,230187.25
2017,CYP,Cyprus,25139.36328125,0.3321934938430786,2.8629183769226074,172998.546875
2017,CZE,Czech Republic,349250.03125,5.356266498565674,3.6658101081848145,2278895.75
2017,DEU,Germany,4042900.25,43.236328125,3.6704676151275635,19033204.0
2017,DNK,Denmark,272138.40625,2.9028024673461914,3.563044309616089,1499052.625
2017,DOM,Dominican Republic,158627.984375,4.515194892883301,2.719550609588623,591542.625
2017,DZA,Algeria,522118.3125,11.153297424316406,2.3027994632720947,2236299.75
2017,ECU,Ecuador,166423.9375,7.925494194030762,2.74959659576416,957913.125
2017,EGY,Egypt,1103773.875,29.058523178100586,2.617687940597534,1590623.75
2017,ESP,Spain,1667510.25,19.175371170043945,2.9438836574554443,10450522.0
2017,EST,Estonia,36322.66796875,0.6528035402297974,3.6161255836486816,185511.0625
2017,ETH,Ethiopia,165052.625,47.918861389160156,1.4146710634231567,684943.9375
2017,FIN,Finland,225821.640625,2.526444435119629,3.466223955154419,1102754.375
2017,FJI,Fiji,7154.8466796875,0.3529999852180481,2.681123971939087,22156.63671875
2017,FRA,France,2689070.0,27.905132293701172,3.190702438354492,15062345.0
2017,GAB,Gabon,24774.1015625,0.5360000133514404,2.784540891647339,101351.90625
2017,GBR,United Kingdom,2625843.75,31.98050308227539,3.757822275161743,13221941.0
2017,GHA,Ghana,143737.640625,14.265609741210938,2.4648165702819824,918879.375
2017,GMB,Gambia,5565.673828125,0.6159999966621399,1.6192492246627808,16445.5859375
2017,GRC,Greece,268986.03125,4.356856346130371,3.091254234313965,2442296.25
2017,GTM,Guatemala,123900.7265625,7.303522109985352,1.9098865985870361,349707.46875
2017,HKG,"China, Hong Kong SAR",366709.4375,3.8685410022735596,3.2390434741973877,1971858.25
2017,HND,Honduras,40030.87890625,4.11899995803833,2.3495230674743652,149489.640625
2017,HRV,Croatia,98212.3515625,1.5328420400619507,3.5236642360687256,556734.3125
2017,HTI,Haiti,17988.44921875,4.313000202178955,1.703675389289856,158113.875
2017,HUN,Hungary,233543.359375,4.47274112701416,3.3849503993988037,1422003.125
2017,IDN,Indonesia,2741298.0,122.60399627685547,2.3161394596099854,17984676.0
2017,IND,India,8411253.0,537.8348999023438,2.1238200664520264,33385420.0
2017,IRL,Ireland,363964.21875,2.0889370441436768,3.150712013244629,1298682.625
2017,IRN,Iran (Islamic Republic of),1306574.125,22.5654354095459,2.4238600730895996,5449297.5
2017,IRQ,Iraq,611053.3125,9.377642631530762,2.262843132019043,1046503.75
2017,ISL,Iceland,14603.1357421875,0.19271379709243774,3.2278268337249756,76263.6171875
2017,ISR,Israel,307171.15625,4.114510536193848,3.807067632675171,1170295.75
2017,ITA,Italy,2270468.0,24.57262420654297,3.1217148303985596,16525972.0
2017,JAM,Jamaica,20246.359375,1.1552871465682983,2.5891306400299072,162146.859375
